Brand_name,Generic_name,que,side_effects
," , by Drugs.com.  Last updated on Sep 12, 2019. ","[['Pronunciation'], ['Excipient information presented when available (limited, particularly for generics); consult specific product labeling.']]","[[], [], [], []]"
," , by Drugs.com.  Last updated on Mar 9, 2020. ","[['Pronunciation'], ['Excipient information presented when available (limited, particularly for generics); consult specific product labeling.']]","[[], [], [], []]"
"BuSpar, BuSpar Dividose, Vanspar"," buspirone (byoo SPYE rone), ","[['What is buspirone?'], ['Buspirone is an anti-anxiety medicine that affects chemicals in the brain that may be unbalanced in people with anxiety.']]","[[], [], [], []]"
"Alaway, Claritin Eye, Refresh Eye Itch Relief, Zaditor"," , (kee toe TYE fen off THAL mik), ","[['What is  Zaditor?'], [' is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, ', ', and ', '.']]","[['mild burning, stinging, or eye irritation;'], ['dryness of the eyes; or'], ['increased sensitivity to light.'], []]"
Bydureon," exenatide (ex EN a tide), ","[['What is Bydureon?'], ['Bydureon (', ') is an extended release injectable diabetes medicine that helps control blood sugar levels. This medication helps your pancreas produce ', ' more efficiently. Bydureon is a long-acting form of exenatide.']]","[[], [], [], []]"
Bystolic," , (ne BIV oh lol), ","[['What is Bystolic?'], ['Bystolic (nebivolol) belongs to a group of drugs called beta-blockers. Beta-blockers affect the heart and circulation (blood flow through arteries and veins).']]","[['headache;'], ['tired feeling;'], ['nausea, stomach pain;'], ['diarrhea; or']]"
Sonata," zaleplon (ZAH le plon), ","[['What is zaleplon?'], ['Zaleplon is a sedative that is used to treat ', '.  zaleplon causes relaxation to help you fall asleep and stay asleep.']]","[[], [], [], []]"
Zaroxolyn," , (me TOL a zone), ","[['What is  Zaroxolyn?'], ['Zaroxolyn is a thiazide diuretic (water pill) that helps prevent your body from absorbing too much salt, which can cause ', '.']]","[['dizziness, spinning sensation;'], ['drowsiness, tiredness;'], ['depressed mood;'], ['muscle or joint pain;']]"
Zanaflex," , (tye ZAN i deen), ","[['What is Zanaflex?'], ['Zanaflex (tizanidine) is a short-acting ', '. It works by blocking nerve impulses (pain sensations) that are sent to your brain.']]","[['drowsiness, dizziness, weakness;'], ['dry mouth;'], ['feeling nervous;'], ['blurred vision;']]"
Zantac," , (ra NI ti deen), ","[['What is Zantac?'], ['Zantac (', ') belongs to a group of drugs called histamine-2 blockers. Ranitidine works by reducing the amount of acid your stomach produces.']]","[[], [], [], []]"
,"Generic Name: ,
Date of Approval: March 6, 2015,
Company: Sandoz Inc.","[['FDA Approves Zarxio'], [' ', ' by Drugs.com.  Last updated on May 2, 2018. ']]","[[], [], [], []]"
Zestoretic," , (HYE droe KLOR oh THYE a zide and lye SIN oh pril), ","[['What is Zestoretic?'], ['Zestoretic contains a combination of ', ' and ', '. Hydrochlorothiazide is a ', ' (water pill) that helps prevent your body from absorbing too much salt, which can cause fluid retention.']]","[['cough;'], ['headache;'], ['; or'], ['tired feeling.']]"
"Creon, Pancreaze, Pertzye, Viokace, Zenpep"," , (pan kre LYE pace), ","[['What is Zenpep?'], ['Zenpep ', ' contains a combination of three enzymes (proteins): lipase, protease, and amylase. These enzymes are normally produced by the pancreas and are important in the digestion of fats, proteins, and sugars.']]","[[], [], [], []]"
"Prinivil, Qbrelis, Zestril"," , (lyse IN oh pril), ","[['What is Zestril?'], ['Zestril (', ') is an ', '. ACE stands for angiotensin converting enzyme.']]","[['headache, dizziness;'], ['cough; or'], ['chest pain.'], []]"
Zetia," , (ez ET i mibe), ","[['What is Zetia?'], ['Zetia (ezetimibe) reduces the amount of cholesterol absorbed by the body.']]","[['If you also take cholestyramine, colestipol, or colesevelam: Wait at least 4 hours after taking any of these medicines before you take ezetimibe. You may also take ezetimibe 2 hours before taking any of these other medicines.'], ['You should not take ezetimibe with gemfibrozil.'], [], []]"
"Orazinc 110, Orazinc 220, Zinc, Zinc-220"," , (ZINK SUL fate), ","[['What is  Zinc?'], ['Zinc is a naturally occurring mineral. Zinc is important for growth and for the development and health of body tissues.']]","[[], [], [], []]"
Ziac," , (HYE droe klor oh THYE a zide and bi SOE proe lol), ","[['What is Ziac?'], ['Ziac contains a combination of hydrochlorothiazide and bisoprolol. Hydrochlorothiazide is a thiazide diuretic (water pill) that helps prevent your body from absorbing too much salt, which can cause fluid retention.']]","[['dizziness, spinning sensation;'], ['feeling weak or tired;'], ['diarrhea, nausea, upset stomach;'], ['headache;']]"
"Orazinc 110, Orazinc 220, Zinc, Zinc-220, "," zinc sulfate (ZINK SUL fate), ","[['What is zinc sulfate?'], [' is a naturally occurring mineral. Zinc is important for growth and for the development and health of body tissues.']]","[[], [], [], []]"
"Orazinc, Orazinc 110(obsolete)"," zinc gluconate (ZINK GLUE koe nate), ","[['What is zinc gluconate?'], [' is a naturally occurring mineral. Zinc is important for growth and for the development and health of body tissues.']]","[[], [], [], []]"
"Zofran, Zofran ODT, Zuplenz"," , (oral) (on DAN se tron), ","[['What is Zofran?'], ['Zofran (ondansetron) blocks the actions of chemicals in the body that can trigger nausea and vomiting.']]","[['severe constipation, stomach pain, or bloating;'], ['headache with chest pain and severe dizziness, fainting, fast or pounding heartbeats;'], ['fast or pounding heartbeats;'], ['jaundice (yellowing of the skin or eyes);']]"
,zye-DOE-vue-deen,"[['Commonly used brand name(s)'], []]","[[], [], [], []]"
Zocor," , (SIM va sta tin), ","[['What is Zocor?'], ['Zocor (', ') belongs to a group of drugs called HMG CoA reductase inhibitors, or ""statins.""']]","[['signs of a kidney problem--little or no urinating; painful or difficult urination; swelling in your feet or ankles; feeling tired or short of breath; or'], ['liver problems--nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes).'], [], []]"
"Zofran, Zofran ODT, Zuplenz"," , (oral) (on DAN se tron), ","[['What is  Zofran ODT?'], [' ODT blocks the actions of chemicals in the body that can trigger ', '.']]","[['Keep the strip in the foil pouch until you are ready to use the medicine.'], ['Using dry hands, remove the strip and place it on your tongue. It will begin to dissolve right away.'], ['Do not swallow the strip whole. Allow it to dissolve in your mouth without chewing.'], ['Swallow several times after the strip dissolves. If desired, you may drink liquid to help swallow the dissolved strip.']]"
"Ambien, Ambien CR, Edluar, Intermezzo, Zolpimist"," zolpidem (zole PI dem), ","[['What is zolpidem?'], [' is a sedative, also called a hypnotic. It affects chemicals in the brain that may be unbalanced in people with sleep problems (insomnia).']]","[[], [], [], []]"
"Zithromax, Zmax"," , (a ZITH roe MYE sin), ","[['What is azithromycin?'], ['Zithromax (azithromycin) is an antibiotic that fights bacteria.']]","[['diarrhea;'], ['nausea, vomiting, stomach pain; or'], ['headache.'], []]"
Geodon," ziprasidone (oral/injection) (zi PRAY si done), ","[['What is ziprasidone?'], ['Ziprasidone is an antipsychotic medicine.']]","[['fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out);'], ['uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement);'], ['any skin rash, no matter how mild;'], ['low white blood cell counts--fever, mouth sores, skin sores, sore throat, cough, trouble breathing;']]"
"Reclast, Zometa, Zometa Concentrate, Aclasta"," zoledronic acid (ZOE le DRON ik AS id), ","[['What is zoledronic acid?'], ['Zoledronic acid (sometimes called zoledronate) is a bisphosphonate (bis FOS fo nayt) medicine that alters bone formation and breakdown in the body. This can slow bone loss and may help prevent bone fractures.']]","[[', ', ', ', ', ', ';'], ['bone pain, muscle or joint pain;'], ['fever or other flu symptoms;'], ['pain in your arms or legs;']]"
Zoladex," , (implant) (GOE se REL in), ","[['What is Zoladex?'], [""Zoladex (goserelin) is a man-made form of a hormone that regulates many processes in the body. Goserelin overstimulates the body's own production of certain hormones, which causes that production to shut down temporarily.""]]","[['hot flashes, sweating;'], ['mood changes, increased or decreased interest in sex;'], ['changes in sexual function, fewer erections than normal;'], ['headache;']]"
"Zomig, Zomig-ZMT"," zolmitriptan (oral) (ZOLE mi TRIP tan), ","[['What is zolmitriptan?'], ['Zolmitriptan is a ', ' medicine that narrows blood vessels around the brain. Zolmitriptan also reduces substances in the body that can trigger headache pain, ', ', sensitivity to light and sound, and other ', ' symptoms.']]","[['zolmitriptan nasal spray, ', ', ', ', ', ', ', ', ', ', or ', '; or'], ['ergot medicine--', ', ', ', ', ', ', '.'], [], []]"
," Anxiolytics, Sedatives, and Hypnotics; Miscellaneous,
, CN309,
, Imidazo(1,2-a)pyridine-3-acetamide,N,N,6-trimethyl-2-(4-methylphenyl)-,(R-(R*,R*))-2,3-dihydroxybutanedioate (2:1),
, C,H,N,O•½C,H,O,
, 103188-50-7,
, Ambien, Ambien CR, Edluar, Intermezzo, Zolpimist","[['Introduction'], ['Imidazopyridine-derivative sedative and hypnotic;', ' ', ' ', ' ', ' ', ' type A GABA (GABA', ')-receptor agonist;', ' ', ' structurally unrelated to benzodiazepines and other sedatives and hypnotics.', ' ', ' ', ' ']]","[['Importance of providing patients with a copy of the medication guide and discussing the contents with every patient prior to initiation of therapy.', ' ', ' ', ' ', ' ', ' ', ' Importance of patients reading the medication guide prior to initiation of therapy and each time the prescription is refilled.', ' ', ' ', ' ', ' ', ' '], ['Importance of informing patients and their families of the benefits and risks of zolpidem therapy.', ' ', ' ', ' ', ' ', ' '], ['Importance of informing all patients (men and women) of the potential for next-day impairment, that the risk is increased if dosing instructions are not carefully followed, and that impairment may be present despite feeling fully awake.', ' ', ' ', ' ', ' ', ' '], ['Importance of administering immediate-release zolpidem preparations intended for bedtime administration (conventional tablets, oral spray, 5- and 10-mg sublingual tablets [Edluar', ']) immediately before getting into bed, at least 7–8 hours before being active again.', ' ', ' ', ' Wait ≥8 hours after taking the drug before driving or engaging in other activities requiring full mental alertness.', ' ', ' ']]"
Zoloft," , (SER tra leen), ","[['What is Zoloft?'], ['Zoloft ', ' is an ', ' belonging to a group of drugs called ', '. Sertraline affects chemicals in the brain that may be unbalanced in people with ', ', panic, anxiety, or obsessive-compulsive symptoms.']]","[[], [], [], []]"
"Reclast, Zometa"," zoledronic acid (ZOE le DRON ik AS id), ","[['What is Zometa?'], ['Zometa ', ' (sometimes called zoledronate) is a ', ' that alters bone formation and breakdown in the body. This can slow bone loss and may help prevent bone fractures.']]","[[], [], [], []]"
"Zomig, Zomig-ZMT"," , (oral) (ZOLE mi TRIP tan), ","[['What is Zomig?'], ['Zomig (zolmitriptan) is a headache medicine that narrows blood vessels around the brain. Zolmitriptan also reduces substances in the body that can trigger headache pain, nausea, sensitivity to light and sound, and other migraine symptoms.']]","[['zolmitriptan nasal spray, almotriptan, eletriptan, frovatriptan, naratriptan, rizatriptan, or sumatriptan; or'], ['ergot medicine - dihydroergotamine, ergotamine, ergonovine, methylergonovine.'], [], []]"
Zonegran," , (zoe NIS a mide), ","[['What is Zonegran?'], ['Zonegran (zonisamide) is a sulfa drug with anti-convulsant effects.']]","[[], [], [], []]"
Zosyn," , (PI per a SIL in and TAZ oh BAK tam), ","[['What is Zosyn?'], ['Zosyn contains a combination of ', '. Piperacillin and tazobactam are penicillin antibiotics that fight bacteria in the body.']]","[['diarrhea, constipation;'], [';'], ['; or'], ['sleep problems (', ').']]"
Zonegran," zonisamide (zoe NIS a mide), ","[['What is zonisamide?'], ['Zonisamide is a sulfa drug with anti-convulsant effects.']]","[[], [], [], []]"
Zostavax," zoster vaccine live (ZOS ter vak SEEN LYV), ","[['What is Zostavax?'], ['Zostavax (zoster vaccine live) is used to prevent herpes zoster virus (shingles) in people age 50 and older.']]","[['headache; or'], ['pain, warmth, redness, bruising, itching, or swelling where the shot was given.'], [], []]"
Zubsolv," , (sublingual tablets) (BUE pre NOR feen and nal OX one), ","[['What is Zubsolv?'], ['Zubsolv sublingual tablets contain a combination of buprenorphine and naloxone. ', ' is an opioid medication, sometimes called a narcotic. ', ' blocks the effects of opioid medication, including pain relief or feelings of well-being that can lead to opioid abuse.']]","[[' - opioid pain medicine or prescription cough medicine;'], [' - ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', and others; or'], [' - a sleeping pill, muscle relaxer, tranquilizer, antidepressant, or antipsychotic medicine.'], []]"
Zovirax," , (oral) (a SYE klo veer), ","[['What is Zovirax?'], ['Zovirax (', ') is an antiviral drug. Acyclovir slows the growth and spread of the herpes virus in the body.']]","[[], [], [], []]"
Zyloprim," , (AL oh PURE i nol), ","[['What is  Zyloprim?'], ['Zyloprim reduces the production of uric acid in your body. Uric acid buildup can lead to gout or ', '.']]","[[' or ', ';'], [';'], [';'], ['an ', ' such as ', ' or ', ';']]"
"ZyPREXA, ZyPREXA Zydis"," , (oral) (oh LANZ a peen), ","[['What is Zyprexa?'], ['Zyprexa ', ' is an ', ' that affects chemicals in the brain.']]","[['weight gain (more likely in teenagers), increased appetite;'], ['headache, dizziness, drowsiness, feeling tired or restless;'], ['problems with speech or memory;'], ['tremors or shaking, numbness or tingly feeling;']]"
"Aplenzin, Buproban, Forfivo XL, Wellbutrin SR, Wellbutrin XL, Zyban, Zyban Advantage Pack, Budeprion XL"," , (byoo PRO pee on), ","[['What is Zyban?'], ['Zyban (bupropion) is used to help people ', ' by reducing cravings and other withdrawal effects.']]","[['dry mouth, sore throat, stuffy nose;'], ['ringing in the ears;'], ['blurred vision;'], ['nausea, vomiting, stomach pain, loss of appetite, constipation;']]"
"All Day Allergy, All Day Allergy Children's, GoodSense All Day Allergy, Indoor/Outdoor Allergy Relief, Zyrtec"," cetirizine (se TIR a zeen), ","[['What is Zyrtec?'], ['Zyrtec (cetirizine) is an ', ' that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose.']]","[[], [], [], []]"
"Yonsa, Zytiga"," , (A bir A te rone), ","[['What is Zytiga?'], ['Zytiga (', ') works by reducing androgen production in the body. Androgens are male ', ' that can promote tumor growth in the prostate gland.']]","[[], [], [], []]"
Zyvox," linezolid (oral/injection) (lin EZ oh lid), ","[['What is Zyvox?'], ['Zyvox ', ' is an ', ' that fights bacteria in the body. Linezolid is also an ', '.']]","[['nausea, vomiting, diarrhea;'], ['mild skin rash;'], ['anemia (low red blood cells); or'], [', dizziness.']]"
Jalyn," , (doo TAS ter ide and tam soo LOE sin), ","[['What is Jalyn?'], ['Jalyn contains a combination of ', ' and ', '. Dutasteride prevents ', ' from converting to dihydrotestosterone (DHT) in the body. DHT is involved in the development of ', ' (BPH).']]","[[], [], [], []]"
," , by Drugs.com.  Last updated on Apr 15, 2020. ","[['Clinical Overview'], [""The plant species has numerous ethnomedicinal uses. Medical literature documents in vitro and animal studies on the plant's antibacterial, antimalarial, antiplasmodial, anthelminthic, and hypoglycemic activity, but there are no clinical trials to support its use for any indication.""]]","[[], [], [], []]"
"Exjade, Jadenu, Jadenu Sprinkle"," , (de FER a sir ox), ","[['What is  Jadenu?'], ['Jadenu binds to iron and removes it from the bloodstream.']]","[['nausea, ', ', stomach pain;'], ['; or'], ['skin rash.'], []]"
Jakafi," , (RUX oh LI ti nib), ","[['What is Jakafi?'], ['Jakafi (', ') works by blocking certain enzymes in the body that affect blood cell production.']]","[['.'], [], [], []]"
"Coumadin, Jantoven"," , (oral) (WAR far in), ","[['What is  Jantoven?'], ['Jantoven is an anticoagulant (blood thinner). This medicine reduces the formation of ', '.']]","[['diabetes;'], ['congestive ', ';'], [', kidney disease (or if you are on dialysis);'], ['a hereditary clotting deficiency; or']]"
"Janumet, Janumet XR"," , (met FOR min and SI ta glip tin), ","[['What is Janumet?'], ['Janumet contains a combination of metformin and sitagliptin. Metformin and sitagliptin are ', ' that help control blood sugar levels.']]","[['low blood sugar (if you also use insulin or another oral diabetes medication);'], ['upset stomach, gas, diarrhea, nausea, vomiting;'], ['headache, weakness; or'], ['cold symptoms such as runny or stuffy nose, sneezing, sore throat.']]"
"Janumet, Janumet XR"," , (met FOR min and SI ta glip tin), ","[['What is  Janumet XR?'], [' XR are oral diabetes medicines that help control blood sugar levels.']]","[['low blood sugar (if you also use insulin or another oral diabetes medication);'], [', gas, ', ', nausea, vomiting;'], [', weakness; or'], [' such as runny or stuffy nose, sneezing, sore throat.']]"
Jardiance," , (EM pa gli FLOE zin), ","[['What is Jardiance?'], ['Jardiance (', ') is an oral diabetes medicine that helps control blood sugar levels. Empagliflozin works by helping the kidneys get rid of glucose from your bloodstream.']]","[['bladder infection; or'], ['.'], [], []]"
Januvia," , (SI ta glip tin), ","[['What is Januvia?'], ['Januvia ', ' is an oral diabetes medicine that helps control blood sugar levels. It works by regulating the levels of ', ' your body produces after eating.']]","[[], [], [], []]"
," , (Contraceptive) (nor ETH in drone), Camila, Deblitane, Errin, Heather, Jencycla, ","[['\n      Uses of Jencycla:'], ['\n      This is not a list of all drugs or health problems that interact with Jencycla (norethindrone (contraceptive)).\n    ']]","[[], [], [], []]"
Jatenzo," , (tes TOS ter one), ","[['What is testosterone?'], ["" is a naturally occurring sex hormone produced in a man's testicles. Small amounts of testosterone are also produced in a woman's ovaries and adrenal system.""]]","[['increased red blood cell counts;'], ['an enlarged prostate;'], ['erections that are more frequent or that last longer than usual;'], ['increased blood pressure;']]"
Jentadueto," , (LIN a GLIP tin and met FOR min), ","[['What is Jentadueto?'], ['Jentadueto contains a combination of ', ' and ', '. Linagliptin and metformin are ', ' that help control blood sugar levels. Metformin works by decreasing glucose (sugar) production in the liver and decreasing absorption of glucose by the intestines. Linagliptin works by regulating the levels of insulin your body produces after eating.']]","[['sore throat;'], ['sinus pain, stuffy nose; or'], ['.'], []]"
Jevtana," cabazitaxel (ka BAZ i TAX el), ","[['What is Jevtana?'], ['Jevtana ', ' is a ', ' that interferes with the growth and spread of cancer cells in the body.']]","[['low blood cell counts;'], ['nausea, vomiting, stomach pain, loss of appetite;'], ['constipation, diarrhea;'], ['weakness, tired feeling;']]"
"Jentadueto, Jentadueto XR"," , (LIN a GLIP tin and met FOR min), ","[['What is  Jentadueto XR?'], [' XR are oral diabetes medicines that help control blood sugar levels. ', ' works by decreasing glucose (sugar) production in the liver and decreasing absorption of glucose by the intestines. ', ' works by regulating the levels of ', ' your body produces after eating.']]","[['sore throat;'], ['sinus pain, stuffy nose; or'], ['.'], []]"
Jeuveau," prabotulinumtoxinA (pra BOT ue LYE num TOX in AY), ","[['What is Jeuveau?'], ['Jeuveau (', ') is made from the bacteria that causes botulism. Botulinum toxin blocks nerve activity in the muscles.']]","[[';'], ['drooping eyelids;'], ['increased white blood cell counts; or'], [' such as stuffy nose, sneezing, ', '.']]"
," , by Drugs.com.  Last updated on Dec 9, 2019. ","[['Clinical Overview'], ['Limited clinical studies have been conducted to support therapeutic applications. Jiaogulan may have a role in the management of type 2 diabetes, obesity, fatty liver disease, immune response (such as asthma), and cancer. G. pentaphyllum extracts may also have a place in beneficial antioxidant therapy.']]","[[], [], [], []]"
," , (Oral route)","[['Commonly used brand name(s)'], [' ', ' by Drugs.com.  Last updated on Nov 24, 2019. ']]","[[], [], [], []]"
," , (Recombinant [Pegylated-aucl]) (an tee hee moe FIL ik FAK tor ree KOM be nant PEG i late ed), Jivi","[['\n      Uses of Jivi:'], ['\n      This medicine may interact with other drugs or health problems.\n    ']]","[[], [], [], []]"
," , (ETH in il es tra DYE ole & LEE voe nor jes trel), Afirmelle, Altavera, Amethia, Amethia Lo, Amethyst, ","[['\n      Uses of Jolessa:'], ['\n      This is not a list of all drugs or health problems that interact with Jolessa (ethinyl estradiol and levonorgestrel).\n    ']]","[[], [], [], []]"
"Aygestin, Camila, Errin, Jolivette, Nora-Be, Ortho Micronor"," , (nor eth IN drone), ","[['What is  Jolivette?'], ['Jolivette is a form of ', ', a female hormone important for regulating ovulation and menstruation.']]","[['irregular vaginal bleeding or spotting;'], ['headache;'], ['breast pain or swelling;'], ['stomach pain, ', ', ', ', vomiting;']]"
Jublia," , (EF in a KON a zole TOP ik al), ","[['What is Jublia?'], ['Jublia (efinaconazole) is an antifungal medication that fights infections caused by fungus.']]","[[], [], [], []]"
"Adhansia XR, Aptensio XR, Concerta, Cotempla XR-ODT, Jornay PM, Metadate ER, Methylin, QuilliChew ER, Quillivant XR, Relexxii, Ritalin, Ritalin LA"," , (oral) (METH il FEN i date), ","[['What is  Jornay PM?'], ['Jornay PM is used to treat ', ' (ADD), attention deficit hyperactivity disorder (', '), and ', '.']]","[['Remove a tablet from its blister pack only when you are ready to take the tablet. Use dry hands and take care not to damage a tablet while pushing it out of the blister.'], ['Place the tablet in your mouth and allow it to dissolve, without chewing or swallowing it whole. You may sip liquid if needed to help swallow the dissolved tablet.'], [], []]"
Juluca," , (DOE loo TEG ra vir and RIL pi VIR een), ","[['What is Juluca?'], ['Juluca contains a combination of ', ' and ', '. Dolutegravir and rilpivirine are antiviral medicines that prevents human immunodeficiency virus (HIV) from multiplying in your body.']]","[[' - fever, night sweats, swollen glands, cold sores, cough, wheezing, diarrhea, weight loss;'], ['trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or'], ['swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence.'], []]"
," , (Oral route)","[['Commonly used brand name(s)'], [' ', ' by Drugs.com.  Last updated on Nov 24, 2019. ']]","[[], [], [], []]"
"Apri, Azurette, Bekyree, Caziant, Cyred, Emoquette, Enskyce, Isibloom, Juleber, Kalliga, Kariva, Mircette, Pimtrea, Reclipsen, Simliya, Velivet, Viorele, Volnea"," , (EH thih nill ess tra DYE ole and des oh JESS trel), ","[['What is  Juleber?'], ['Juleber is a combination ', ' containing female ', ' that prevent ovulation (the release of an egg from an ovary).  Juleber also causes changes in your cervical mucus and uterine lining, making it harder for sperm to reach the uterus and harder for a fertilized egg to attach to the uterus.']]","[['nausea, vomiting (especially when you first start taking  Juleber);'], ['breast tenderness;'], ['breakthrough bleeding;'], [', darkening of facial skin;']]"
," , (Oral route)","[['Commonly used brand name(s)'], [' ', ' by Drugs.com.  Last updated on Nov 24, 2019. ']]","[[], [], [], []]"
"Gralise, Horizant, Neurontin"," gabapentin (GA ba PEN tin), ","[['What is gabapentin?'], [' is an anti-epileptic drug, also called an ', '. It affects chemicals and nerves in the body that are involved in the cause of seizures and some types of pain.']]","[['headache;'], ['dizziness, drowsiness, tiredness;'], ['problems with balance or eye movements; or'], ['(in children) fever, nausea, vomiting.']]"
," , (ETH in il es tra DYE ole, nor eth IN drone, & FER uhs FYOO mar rate), Blisovi 24 Fe, Blisovi Fe 1.5/30, Blisovi Fe 1/20, Estrostep Fe, Gildess 24 Fe, ","[['\n      Uses of Junel Fe 1/20:'], ['\n      For all patients taking Junel Fe 1/20 (ethinyl estradiol, ', ', and ', '):\n    ']]","[[], [], [], []]"
," , (ETH in il es tra DYE ole, nor eth IN drone, & FER uhs FYOO mar rate), Blisovi 24 Fe, Blisovi Fe 1.5/30, Blisovi Fe 1/20, Estrostep Fe, Gildess 24 Fe, ","[['\n      Uses of Junel Fe 1.5/30:'], ['\n      For all patients taking Junel Fe 1.5/30 (ethinyl estradiol, ', ', and ', '):\n    ']]","[[], [], [], []]"
," norethindrone acetate and ethinyl estradiol,
, tablet","[['Junel Description'], [' ']]","[[], [], [], []]"
," , (ETH in il es tra DYE ole, nor eth IN drone, & FER uhs FYOO mar rate), Blisovi 24 Fe, Blisovi Fe 1.5/30, Blisovi Fe 1/20, Estrostep Fe, Gildess 24 Fe, ","[['\n      Uses of Junel Fe 24:'], ['\n      For all patients taking Junel Fe 24 (ethinyl estradiol, ', ', and ', '):\n    ']]","[[], [], [], []]"
," hyaluronic acid gel, Juvederm Volbella® XC, Juvederm® Ultra XC, Juvederm Voluma® XC, Juvederm® XC, Juvederm Vollure™ XC","[['What is Juvederm?'], ['Juvederm is a family of injectable hyaluronic acid dermal fillers used to provide 9 months to one year of correction for moderate to severe ', ', such as nasolabial folds (lines from the nose to the corners of the mouth). It is also used for lip augmentation.']]","[[], [], [], []]"
"Razadyne, Razadyne ER, Reminyl"," galantamine (ga LAN ta meen), ","[['What is galantamine?'], ['Galantamine improves the function of nerve cells in the brain. It works by preventing the breakdown of a chemical called ', ' (ah see til KO leen). People with ', ' usually have lower levels of this chemical, which is important for the processes of memory, thinking, and reasoning.']]","[[';'], ['cold or allergy medicine that contains an antihistamine (', ' and others);'], ['medicine to treat ', ';'], ['medicine to treat excess stomach acid, stomach ulcer, ', ', or ', ';']]"
Juxtapid," , (loe MI ta pide), ","[['What is Juxtapid?'], ['Juxtapid (', ') is a cholesterol-lowering medication. It reduces blood levels of ""bad"" cholesterol, such as low-density lipoprotein (LDL) or non-high-density liproprotein (non-HDL), as well as a protein that carries bad ', ' in the blood.']]","[['nausea, vomiting, upper stomach pain;'], ['loss of appetite;'], ['swelling around your midsection;'], ['flu-like symptoms, tiredness;']]"
Jynarque," tolvaptan (Jynarque) (tol VAP tan (jin AR kew)), ","[['What is Jynarque?'], ['This medication guide provides information about the Jynarque brand of  Jynarque. ', ' is another brand of ', ' that is not covered in this medication guide.']]","[['increased thirst; or'], ['increased urination.'], [], []]"
," Ganciclovir sodium,
, injection, powder, lyophilized, for solution","[['Indications and Usage for Ganciclovir'], ['Ganciclovir for injection is indicated for the treatment of cytomegalovirus (CMV) retinitis in immunocompromised adult patients, including patients with acquired immunodeficiency syndrome (AIDS) ', ' .']]","[[], [], [], []]"
Garlic Oil," garlic (GAR lik), ","[['What is garlic?'], ['Garlic is an herb also known as Ail, Ajo, Allii Sativi Bulbus, Allium, Allium sativum, ', "" of the Poor, Da Suan, Lasun, Lasuna, Nectar of the Gods, Poor Man's Treacle, Rason, Rust Treacle, or Stinking Rose.""]]","[[' (', ');'], ['birth control pills;'], [';'], [';']]"
"Garamycin, Cidomycin, Septopal (obsolete)"," gentamicin (GEN ta MYE sin), ","[['What is gentamicin?'], [' is an ', ' that fights bacteria.']]","[['a diuretic or ""water pill""; or'], ['any other antibiotic.'], [], []]"
"Gemzar, Infugem"," gemcitabine (jem SYE ta been), ","[['What is gemcitabine?'], ['Gemcitabine is used to treat cancers of the pancreas, lung, ovary, and breast.']]","[['fever;'], [', ', ';'], ['low blood cell counts;'], ['abnormal blood or urine tests;']]"
"Alka-Seltzer Anti-Gas, Bicarsim, Bicarsim Forte, Gas Aide, Gas Free Extra Strength, Gas-X, Infantaire Gas Relief, Little Tummys, Mi-Acid Gas Relief, Mylanta Gas Maximum Strength, Mytab Gas, Phazyme, SimePed"," , (sye METH i cone), ","[['What is  Gas-X?'], ['Gas-X allows gas bubbles in the stomach and intestines to come together more easily, which allows for easier passage of gas.']]","[[], [], [], []]"
," human papillomavirus quadrivalent (types 6, 11, 16, and 18) vaccine, recombinant,
, injection, suspension","[['Indications and Usage for Gardasil'], ['Gardasil®', ' is a vaccine indicated in girls and women 9 through 26 years of age for the prevention of the following diseases caused by Human Papillomavirus (HPV) types included in the vaccine:']]","[[], [], [], []]"
Lopid," gemfibrozil (jem FYE broe zil), ","[['What is gemfibrozil?'], ['Gemfibrozil helps reduce cholesterol and triglycerides (fatty acids) in the blood. High levels of these types of fat in the blood are associated with an increased risk of atherosclerosis (clogged arteries).']]","[['stomach pain, indigestion, diarrhea;'], ['numbness or tingly feeling;'], ['dizziness, drowsiness;'], ['blurred vision;']]"
Gemzar," , (jem SYE ta been), ","[['What is Gemzar?'], ['Gemzar (gemcitabine) is a cancer medication that interferes with the growth and spread of cancer cells in the body.']]","[['fever;'], ['nausea, vomiting;'], ['low blood cell counts;'], ['abnormal blood or urine tests;']]"
," , (a LOO min uhm/mag NEE zee uhm), Acid Gone, Gaviscon","[['\n      Uses of Gaviscon:'], ['\n      This is not a list of all drugs or health problems that interact with Gaviscon (aluminum hydroxide and magnesium carbonate suspension).\n    ']]","[[], [], [], []]"
